Course Name,Duration,Size
12. Womens Tailoring (LOOK INSIDE)\Womens talioring TA-F-7H-7P\Chapter 4 Types of stiches,0 hours 31 minutes and 59 seconds,117.28 GB and 120095.18 MB
12. Womens Tailoring (LOOK INSIDE)\Womens talioring TA-F-7H-7P\Chapter 5 - Measurement basics,0 hours 16 minutes and 56 seconds,117.28 GB and 120095.18 MB
12. Womens Tailoring (LOOK INSIDE)\Womens talioring TA-F-7H-7P\Chapter 6  Petty coat,1 hours 11 minutes and 50 seconds,117.28 GB and 120095.18 MB
12. Womens Tailoring (LOOK INSIDE)\Womens talioring TA-F-7H-7P\Chapter 7 Nighty,1 hours 13 minutes and 39 seconds,117.28 GB and 120095.18 MB
12. Womens Tailoring (LOOK INSIDE)\Womens talioring TA-F-7H-7P\Chapter 8 Blouse,1 hours 11 minutes and 49 seconds,117.28 GB and 120095.18 MB
12. Womens Tailoring (LOOK INSIDE)\Womens talioring TA-F-7H-7P\Chapter 9 chudidhar,1 hours 39 minutes and 19 seconds,117.28 GB and 120095.18 MB
13. Bee Keeping HI-M-5H-7P,5 hours 18 minutes and 47 seconds,117.28 GB and 120095.18 MB
14. Computerized Accounting HI-M-6H-7P,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
14. Computerized Accounting HI-M-6H-7P\Computerized Accounting and Book keeping,5 hours 40 minutes and 15 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 1 - Final outs,0 hours 34 minutes and 32 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 10 - Final,0 hours 29 minutes and 38 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 11 - Final,0 hours 16 minutes and 30 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 12 - Final out,0 hours 13 minutes and 11 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 13 - Final,0 hours 5 minutes and 24 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 14 - Final,0 hours 41 minutes and 7 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 2 - Final out,0 hours 42 minutes and 41 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 3 Final outs,0 hours 18 minutes and 37 seconds,117.28 GB and 120095.18 MB
